# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
23,1715465607.735631,73600,11.0,0.0,0.90625,0,288.0,0.0,0.0,-0.030737154185771942,0.06637091934680939,0.0001846938394010067,-0.09729276597499847,1.0,1.0,0.0,0.0
24,1715465634.5061862,76800,11.0,0.0,1.75,0,288.0,0.0,0.0,-0.12698352336883545,-0.02982327900826931,0.0001324145559919998,-0.09729265421628952,1.0,1.0,0.0,0.0
25,1715465662.5085251,80000,11.0,0.0,1.03125,0,288.0,0.0,0.0,-0.14052963256835938,-0.043353576213121414,0.00011644826008705422,-0.09729251265525818,1.0,1.0,0.0,0.0
26,1715465691.7707374,83200,12.0,0.09375,0.78125,0,265.16668701171875,0.0963541716337204,0.19864970445632935,1.5042798519134521,1.5182104110717773,0.08336187899112701,-0.0972924530506134,1.0,1.0,0.0,0.0
27,1715465718.288685,86400,12.0,0.0,0.90625,0,288.0,0.0,0.0,-1.3019624948501587,-1.206010103225708,0.0013382481411099434,-0.09729062765836716,1.0,1.0,0.0,0.0
28,1715465746.296672,89600,12.0,0.03125,1.0,0,266.91668701171875,0.07421875,0.25710129737854004,3.44584584236145,3.2752671241760254,0.26786893606185913,-0.09729037433862686,1.0,1.0,0.0,0.0
29,1715465774.7941058,92800,10.0,0.0,1.25,0,288.0,0.0,0.0,-3.1003482341766357,-3.0109777450561523,0.007916809059679508,-0.09728748351335526,1.0,1.0,0.0,0.0
30,1715465801.6552055,96000,12.0,0.0,1.0,0,288.0,0.0,0.0,-0.2543048560619354,-0.15738031268119812,0.0003621835494413972,-0.09728673845529556,1.0,1.0,0.0,0.0
31,1715465825.4800804,99200,11.0,0.03125,1.28125,0,279.6363830566406,0.035227272659540176,0.11683564633131027,1.0756031274795532,1.128759503364563,0.04413009434938431,-0.09728650003671646,1.0,1.0,0.0,0.0
32,1715465853.468629,102400,11.0,0.0,0.9375,0,288.0,0.0,0.0,-0.9316248893737793,-0.8351191282272339,0.0007772716344334185,-0.0972830280661583,1.0,1.0,0.0,0.0
33,1715465881.706648,105600,12.0,0.0,1.4375,0,288.0,0.0,0.0,-0.3281811475753784,-0.23114489018917084,0.0002475868968758732,-0.09728383272886276,1.0,1.0,0.0,0.0
34,1715465910.8718476,108800,9.0,0.03125,0.65625,0,287.8888854980469,0.01145833358168602,0.03437499701976776,-0.08075559884309769,0.014211930334568024,0.0023159258998930454,-0.09728345274925232,1.0,1.0,0.0,0.0
35,1715465938.0991652,112000,13.0,0.0,1.21875,0,288.0,0.0,0.0,-0.17014458775520325,-0.07301690429449081,0.00015389354666695,-0.0972815752029419,1.0,1.0,0.0,0.0
36,1715465966.294014,115200,12.0,0.03125,1.875,0,277.41668701171875,0.04140625149011612,0.14343544840812683,1.7320547103881836,1.747072696685791,0.08226405829191208,-0.09728201478719711,1.0,1.0,0.0,0.0
37,1715465995.4086952,118400,10.0,0.0,0.9375,0,288.0,0.0,0.0,-1.7623635530471802,-1.6674716472625732,0.002394787035882473,-0.09728673100471497,1.0,1.0,0.0,0.0
38,1715466021.738246,121600,13.0,0.03125,1.0625,0,272.76922607421875,0.055288463830947876,0.19934538006782532,1.081573724746704,1.080587387084961,0.0982731506228447,-0.09728686511516571,1.0,1.0,0.0,0.0
39,1715466046.1122363,124800,10.0,0.0,0.875,0,288.0,0.0,0.0,-1.2869329452514648,-1.1909797191619873,0.0013283840380609035,-0.09728161990642548,1.0,1.0,0.0,0.0
40,1715466073.7348926,128000,10.0,0.03125,0.875,0,273.20001220703125,0.05625000223517418,0.17787812650203705,1.2034022808074951,1.2183793783187866,0.08230431377887726,-0.09728140383958817,1.0,1.0,0.0,0.0
41,1715466102.1434314,131200,14.0,0.0,0.8125,0,288.0,0.0,0.0,-1.1783814430236816,-1.0821988582611084,0.0010980382794514298,-0.09728065878152847,1.0,1.0,0.0,0.0
42,1715466130.4363894,134400,10.0,0.0625,1.40625,0,259.6000061035156,0.10875000059604645,0.25199636816978455,3.829448938369751,3.7010855674743652,0.22564348578453064,-0.09727995842695236,1.0,1.0,0.0,0.0
43,1715466155.7352705,137600,14.0,0.0,1.34375,0,288.0,0.0,0.0,-3.1685516834259033,-3.079967975616455,0.008678053505718708,-0.0972617045044899,1.0,1.0,0.0,0.0
44,1715466183.3613596,140800,10.0,0.0625,1.3125,0,260.5,0.10593750327825546,0.2415698915719986,3.2874178886413574,3.1871769428253174,0.19750583171844482,-0.09726469963788986,1.0,1.0,0.0,0.0
45,1715466211.7762947,144000,10.0,0.03125,1.15625,0,279.3000183105469,0.037187498062849045,0.11759719997644424,-2.6198675632476807,-2.540457248687744,0.017842164263129234,-0.0972522720694542,1.0,1.0,0.0,0.0
46,1715466237.9441457,147200,13.0,0.0,0.8125,0,288.0,0.0,0.0,-0.8280692100524902,-0.731475830078125,0.0006596669554710388,-0.09725305438041687,1.0,1.0,0.0,0.0
47,1715466263.6439266,150400,10.0,0.0,1.625,0,288.0,0.0,0.0,-0.42786985635757446,-0.3309420943260193,0.00032357260352000594,-0.09725131839513779,1.0,1.0,0.0,0.0
48,1715466292.1254048,153600,13.0,0.0,2.09375,0,288.0,0.0,0.0,-0.16185301542282104,-0.06482063233852386,0.00022012813133187592,-0.0972525104880333,1.0,1.0,0.0,0.0
49,1715466319.459998,156800,10.0,0.0,0.65625,0,288.0,0.0,0.0,-0.24093180894851685,-0.1438595950603485,0.00018166691006626934,-0.09725386649370193,1.0,1.0,0.0,0.0
50,1715466347.8944228,160000,10.0,0.0,1.15625,0,288.0,0.0,0.0,-0.1451207399368286,-0.04801997169852257,0.00015223631635308266,-0.09725300967693329,1.0,1.0,0.0,0.0
51,1715466372.8295696,163200,12.0,0.0,0.78125,0,288.0,0.0,0.0,-0.038543764501810074,0.058576516807079315,0.0001322730677202344,-0.09725255519151688,1.0,1.0,0.0,0.0
52,1715466401.966822,166400,11.0,0.0,0.96875,0,288.0,0.0,0.0,-0.15981191396713257,-0.06266570091247559,0.0001062636001734063,-0.09725246578454971,1.0,1.0,0.0,0.0
53,1715466429.9310796,169600,11.0,0.0,0.875,0,288.0,0.0,0.0,-0.11548803746700287,-0.01835012435913086,0.00011540680134203285,-0.09725332260131836,1.0,1.0,0.0,0.0
54,1715466454.7261407,172800,12.0,0.0,1.09375,0,288.0,0.0,0.0,-0.057947658002376556,0.03916069492697716,0.00014528162137139589,-0.09725363552570343,1.0,1.0,0.0,0.0
55,1715466479.557626,176000,11.0,0.03125,1.0,0,276.727294921875,0.04431818425655365,0.14698678255081177,0.9975999593734741,1.036081075668335,0.058771777898073196,-0.09725284576416016,1.0,1.0,0.0,0.0
