# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1724557985.9364793,0,15.0,19090283.40625,0.0,2146866800,181.4666748046875,1.2999999523162842,1.3201731443405151,28.111581802368164,25.26558494567871,2.987168788909912,-0.1411716341972351,0.008281249552965164,0.0,0.0,0.008281249552965164,0.843278169631958,0.9306837320327759,148.78125,221.53125,1.5184485912322998,1.7769458293914795
1,1724558002.1044881,3200,19.0,201791171.40625,0.0,2147269344,149.89474487304688,1.5736843347549438,1.4669857025146484,-173.25579833984375,-223.0006103515625,49.885135650634766,-0.14032258093357086,0.010843750089406967,0.0,0.0,0.010843750089406967,0.8520057201385498,0.9140723347663879,403.1875,578.40625,1.4084504842758179,2.5318362712860107
2,1724558018.737705,6400,17.0,34052419.3125,0.0,2147269344,176.5294189453125,1.6294116973876953,1.12459135055542,314.32000732421875,274.0545959472656,40.40667724609375,-0.14125220477581024,0.008343749679625034,0.0,0.0,0.008343749679625034,0.8354390263557434,0.8998977541923523,650.59375,929.59375,1.438602089881897,3.233822822570801
3,1724558037.2495995,9600,19.0,-102262683.0,0.0,2147269344,178.2105255126953,0.9421051740646362,1.1672929525375366,-96.17709350585938,-118.85834503173828,22.82215690612793,-0.14091016352176666,0.00621875049546361,0.0,0.0,0.00621875049546361,0.8452977538108826,0.9085543751716614,905.0,1289.96875,1.4427083730697632,3.735421657562256
4,1724558054.174967,12800,18.0,-11227368.875,0.0,2147269344,174.2777862548828,1.3777776956558228,1.1274933815002441,169.1909942626953,150.8671417236328,18.464588165283203,-0.14073297381401062,0.008124999701976776,0.0,0.0,0.008124999701976776,0.8343369960784912,0.888031005859375,1144.59375,1630.78125,1.4612078666687012,4.336941719055176
5,1724558073.5777917,16000,21.0,59771049.53125,0.0,2147269344,170.71429443359375,1.4333332777023315,0.9128708243370056,-16.57666015625,-34.03132629394531,17.59578514099121,-0.14111854135990143,0.007406249642372131,0.0,0.0,0.007406249642372131,0.8591102361679077,0.9181181192398071,1405.4375,1983.375,1.4432508945465088,4.690633773803711
6,1724558090.958665,19200,19.0,280786271.03125,0.0,2146866800,156.6842041015625,1.2052630186080933,1.1496249437332153,66.29498291015625,55.58734130859375,10.847461700439453,-0.13981720805168152,0.0076249996200203896,0.0,0.0,0.0076249996200203896,0.8450995683670044,0.9056053161621094,1653.9375,2337.375,1.4424495697021484,4.976327896118164
7,1724558108.7717888,22400,19.0,-17202059.5625,0.0,2147269344,167.7894744873047,2.3105263710021973,1.4749369621276855,20.30666160583496,7.012456893920898,13.432621955871582,-0.1384175717830658,0.015406249091029167,0.0,0.0,0.015406249091029167,0.8201098442077637,0.8928583860397339,1901.625,2695.78125,1.4778250455856323,5.252172470092773
8,1724558127.4148834,25600,17.0,-67637439.0,0.0,2147269344,184.41175842285156,2.394117593765259,1.1599950790405273,12.491971015930176,-8.159588813781738,20.786338806152344,-0.13477934896945953,0.013812500052154064,0.0,0.0,0.013812500052154064,0.8078665137290955,0.8778188824653625,2108.53125,3016.5625,1.5079044103622437,5.857057094573975
9,1724558145.045332,28800,16.0,91817087.0,0.0,2147269344,190.6875,2.4749999046325684,1.4548770189285278,25.787412643432617,12.111858367919922,13.788187026977539,-0.11263269931077957,0.015187499113380909,0.0,0.0,0.015187499113380909,0.8337206244468689,0.8947928547859192,2356.71875,3379.21875,1.5401268005371094,6.139233112335205
