# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1715508630.0509374,0,1.0,0.03125,1.03125,0,97.0,0.6968749761581421,nan,1.3385008573532104,1.341603398323059,0.0941845178604126,-0.09728711098432541,0.00021777342772111297,0.0003054874832741916,0.0005232609109953046,0.5344242453575134,0.23393389582633972,20.8125,10.28125,5.5164008140563965,33.870643615722656
1,1715508644.8005083,3200,16.0,0.0,1.0625,0,288.0,0.0,0.0,-29.661151885986328,-30.670360565185547,1.1063475608825684,-0.09713872522115707,0.0,0.0001963521062862128,0.0001963521062862128,0.4850958287715912,0.16183684766292572,38.6875,20.34375,6.862082481384277,49.503597259521484
2,1715508674.1103103,6400,7.0,0.0,0.40625,0,288.0,0.0,0.0,0.32056716084480286,0.41080063581466675,0.007026050239801407,-0.0972595140337944,0.0,0.00016908535326365381,0.00016908535326365381,0.4618540108203888,0.13836601376533508,55.625,30.6875,8.304075241088867,63.00498962402344
3,1715508693.3994002,9600,12.0,0.0625,1.09375,0,279.75,0.04244791716337204,0.11351701617240906,0.6421242952346802,0.6936707496643066,0.045715801417827606,-0.09726225584745407,0.00015917967539280653,0.0001630772603675723,0.00032225693576037884,0.46265289187431335,0.13127104938030243,71.375,39.6875,8.701223373413086,73.80111694335938
4,1715508723.2687428,12800,11.0,0.0,1.4375,0,288.0,0.0,0.0,-2.3960964679718018,-2.3038718700408936,0.005044660996645689,-0.09726935625076294,0.0,0.00018041723524220288,0.00018041723524220288,0.4804705083370209,0.13825520873069763,90.90625,52.34375,9.446067810058594,82.25869750976562
5,1715508743.1693976,16000,10.0,0.0,1.0625,0,288.0,0.0,0.0,1.7714942693710327,1.8642328977584839,0.004516958724707365,-0.09725561738014221,0.0,0.000161869524163194,0.000161869524163194,0.4631798565387726,0.12888772785663605,108.875,62.625,10.035951614379883,88.88137817382812
6,1715508773.0194228,19200,13.0,0.0625,0.9375,0,266.923095703125,0.08125000447034836,0.22603926062583923,-0.06013382226228714,-0.06804501265287399,0.10517673194408417,-0.09726554155349731,0.0003300781245343387,0.00015614970470778644,0.0004862278583459556,0.44552817940711975,0.12280799448490143,123.96875,73.5,10.561647415161133,96.7578125
7,1715508792.9726882,22400,11.0,0.0625,0.6875,0,262.0,0.09943182021379471,0.22280973196029663,0.9644424915313721,0.9227179288864136,0.138996884226799,-0.09727226942777634,0.0003417968691792339,0.00012318298104219139,0.0004649798502214253,0.41195860505104065,0.11137068271636963,138.21875,82.5625,11.507261276245117,105.14473724365234
8,1715508822.7663333,25600,11.0,0.0,0.90625,0,288.0,0.0,0.0,-3.3646841049194336,-3.2782959938049316,0.01088796928524971,-0.09727585315704346,0.0,0.00014889448357280344,0.00014889448357280344,0.43475207686424255,0.12298612296581268,153.0,92.375,11.90206241607666,110.5283203125
9,1715508845.4089386,28800,9.0,0.03125,1.1875,0,267.0,0.07673611491918564,0.23020833730697632,4.181917667388916,4.10655403137207,0.17262890934944153,-0.09726526588201523,0.00021582031331490725,0.00014960215776227415,0.00036542248562909663,0.4364123046398163,0.11897218227386475,172.46875,104.21875,12.001225471496582,116.02516174316406
