# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
0,1715508415.3454149,0,0.0,0.0,1.0625,0,nan,nan,nan,-1.815941572189331,-1.7214974164962769,0.0028429704252630472,-0.09728716313838959,1.0,1.0,0.0,0.0
1,1715508431.351542,3200,16.0,0.03125,1.09375,0,282.75,0.02265625074505806,0.09062500298023224,35.75517654418945,34.55579376220703,1.2966417074203491,-0.0972609892487526,1.0,1.0,0.0,0.0
2,1715508459.9003854,6400,8.0,0.0,1.21875,0,288.0,0.0,0.0,-1.5802333354949951,-1.4903020858764648,0.007357421331107616,-0.09728872776031494,1.0,1.0,0.0,0.0
3,1715508479.9149098,9600,14.0,0.0,1.0625,0,288.0,0.0,0.0,0.7938151359558105,0.8900189399719238,0.0010859942995011806,-0.09728981554508209,1.0,1.0,0.0,0.0
4,1715508509.0478187,12800,6.0,0.03125,1.125,0,269.5,0.07447917014360428,0.18243595957756042,0.9810702800750732,1.0223546028137207,0.056005485355854034,-0.0972897857427597,1.0,1.0,0.0,0.0
