# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
0,1716215262.0950184,0,16.0,30541726.09375,0.0,2145190116,167.6875,1.2874999046325684,1.223042607307434,24.68003273010254,22.56273651123047,2.258460283279419,-0.14116567373275757,1.0,1.0,0.0,0.0
1,1716215293.0833173,3200,18.0,-25745592.75,0.0,2144122919,164.44444274902344,1.100000023841858,1.4142135381698608,-252.982421875,-340.1583251953125,87.31575012207031,-0.1398417353630066,1.0,1.0,0.0,0.0
2,1716215321.3625534,6400,18.0,96792212.96875,0.0,2145190116,182.3333282470703,2.0999999046325684,1.236694097518921,244.3299560546875,212.72523498535156,31.745830535888672,-0.14111419022083282,1.0,1.0,0.0,0.0
3,1716215350.1083272,9600,18.0,16051398.0,0.0,2145190116,173.72222900390625,1.2111109495162964,1.0226198434829712,-142.55979919433594,-179.240234375,36.82130813598633,-0.14086420834064484,1.0,1.0,0.0,0.0
4,1716215380.1936479,12800,20.0,185919868.1875,0.0,2145190116,165.0500030517578,1.0999997854232788,1.0259783267974854,83.76872253417969,74.02702331542969,9.88272476196289,-0.1410232037305832,1.0,1.0,0.0,0.0
5,1716215410.1005344,16000,19.0,71736073.4375,0.0,2145190116,153.4736785888672,1.7315788269042969,1.3000224828720093,-50.023773193359375,-79.2595443725586,29.376750946044922,-0.1409786492586136,1.0,1.0,0.0,0.0
6,1716215439.4081378,19200,19.0,-75812437.0625,0.0,2144122919,172.68421936035156,2.0999996662139893,1.2018502950668335,106.73721313476562,90.89816284179688,15.978377342224121,-0.13933107256889343,1.0,1.0,0.0,0.0
7,1716215469.5199656,22400,16.0,217920580.71875,0.0,2145190116,183.75,2.6624999046325684,1.750000238418579,20.140907287597656,-2.1020681858062744,22.379390716552734,-0.13641589879989624,1.0,1.0,0.0,0.0
8,1716215499.8711538,25600,16.0,-136077856.125,0.0,2145190116,202.9375,3.2875003814697266,0.9105862379074097,29.972749710083008,9.1436185836792,20.952587127685547,-0.12345762550830841,1.0,1.0,0.0,0.0
9,1716215531.0708177,28800,24.0,132778980.84375,0.0,2145190116,148.0,2.3499999046325684,1.5948288440704346,-8.55804443359375,-37.84182357788086,29.37050437927246,-0.08672481030225754,1.0,1.0,0.0,0.0
